date,ALLSKY_KT
01/01/2020,0.4
02/01/2020,0.46
03/01/2020,0.31
04/01/2020,0.34
05/01/2020,0.29
06/01/2020,0.49
07/01/2020,0.45
08/01/2020,0.5
09/01/2020,0.45
10/01/2020,0.16
11/01/2020,0.32
12/01/2020,0.46
13/01/2020,0.51
14/01/2020,0.5
15/01/2020,0.52
16/01/2020,0.18
17/01/2020,0.48
18/01/2020,0.41
19/01/2020,0.3
20/01/2020,0.2
21/01/2020,0.59
22/01/2020,0.54
23/01/2020,0.47
24/01/2020,0.3
25/01/2020,0.54
26/01/2020,0.3
27/01/2020,0.49
28/01/2020,0.5
29/01/2020,0.36
30/01/2020,0.16
31/01/2020,0.55
01/02/2020,0.56
02/02/2020,0.5
03/02/2020,0.48
04/02/2020,0.34
05/02/2020,0.23
06/02/2020,0.43
07/02/2020,0.54
08/02/2020,0.5
09/02/2020,0.52
10/02/2020,0.53
11/02/2020,0.49
12/02/2020,0.45
13/02/2020,0.44
14/02/2020,0.54
15/02/2020,0.41
16/02/2020,0.59
17/02/2020,0.23
18/02/2020,0.56
19/02/2020,0.45
20/02/2020,0.55
21/02/2020,0.44
22/02/2020,0.31
23/02/2020,0.3
24/02/2020,0.33
25/02/2020,0.45
26/02/2020,0.15
27/02/2020,0.45
28/02/2020,0.34
29/02/2020,0.48
01/03/2020,0.45
02/03/2020,0.54
03/03/2020,0.12
04/03/2020,0.55
05/03/2020,0.41
06/03/2020,0.48
07/03/2020,0.51
08/03/2020,0.57
09/03/2020,0.49
10/03/2020,0.57
11/03/2020,0.62
12/03/2020,0.51
13/03/2020,0.49
14/03/2020,0.58
15/03/2020,0.53
16/03/2020,0.47
17/03/2020,0.44
18/03/2020,0.44
19/03/2020,0.43
20/03/2020,0.24
21/03/2020,0.51
22/03/2020,0.54
23/03/2020,0.48
24/03/2020,0.47
25/03/2020,0.61
26/03/2020,0.12
27/03/2020,0.66
28/03/2020,0.45
29/03/2020,0.47
30/03/2020,0.42
31/03/2020,0.62
01/04/2020,0.55
02/04/2020,0.46
03/04/2020,0.54
04/04/2020,0.55
05/04/2020,0.38
06/04/2020,0.44
07/04/2020,0.51
08/04/2020,0.62
09/04/2020,0.52
10/04/2020,0.4
11/04/2020,0.27
12/04/2020,0.61
13/04/2020,0.6
14/04/2020,0.65
15/04/2020,0.6
16/04/2020,0.43
17/04/2020,0.55
18/04/2020,0.34
19/04/2020,0.53
20/04/2020,0.53
21/04/2020,0.34
22/04/2020,0.63
23/04/2020,0.29
24/04/2020,0.47
25/04/2020,0.52
26/04/2020,0.57
27/04/2020,0.61
28/04/2020,0.43
29/04/2020,0.62
30/04/2020,0.58
01/05/2020,0.57
02/05/2020,0.4
03/05/2020,0.54
04/05/2020,0.59
05/05/2020,0.57
06/05/2020,0.61
07/05/2020,0.64
08/05/2020,0.45
09/05/2020,0.43
10/05/2020,0.62
11/05/2020,0.55
12/05/2020,0.41
13/05/2020,0.61
14/05/2020,0.42
15/05/2020,0.57
16/05/2020,0.41
17/05/2020,0.39
18/05/2020,0.39
19/05/2020,0.55
20/05/2020,0.55
21/05/2020,0.48
22/05/2020,0.35
23/05/2020,0.59
24/05/2020,0.54
25/05/2020,0.54
26/05/2020,0.58
27/05/2020,0.55
28/05/2020,0.52
29/05/2020,0.59
30/05/2020,0.49
31/05/2020,0.45
01/06/2020,0.2
02/06/2020,0.6
03/06/2020,0.59
04/06/2020,0.41
05/06/2020,0.16
06/06/2020,0.59
07/06/2020,0.64
08/06/2020,0.61
09/06/2020,0.66
10/06/2020,0.64
11/06/2020,0.57
12/06/2020,0.64
13/06/2020,0.54
14/06/2020,0.54
15/06/2020,0.59
16/06/2020,0.41
17/06/2020,0.62
18/06/2020,0.37
19/06/2020,0.48
20/06/2020,0.55
21/06/2020,0.55
22/06/2020,0.48
23/06/2020,0.52
24/06/2020,0.44
25/06/2020,0.4
26/06/2020,0.3
27/06/2020,0.33
28/06/2020,0.55
29/06/2020,0.61
30/06/2020,0.27
01/07/2020,0.55
02/07/2020,0.49
03/07/2020,0.69
04/07/2020,0.58
05/07/2020,0.46
06/07/2020,0.66
07/07/2020,0.26
08/07/2020,0.53
09/07/2020,0.32
10/07/2020,0.38
11/07/2020,0.48
12/07/2020,0.61
13/07/2020,0.58
14/07/2020,0.3
15/07/2020,0.54
16/07/2020,0.49
17/07/2020,0.6
18/07/2020,0.39
19/07/2020,0.57
20/07/2020,0.47
21/07/2020,0.62
22/07/2020,0.31
23/07/2020,0.31
24/07/2020,0.55
25/07/2020,0.54
26/07/2020,0.43
27/07/2020,0.45
28/07/2020,0.45
29/07/2020,0.47
30/07/2020,0.38
31/07/2020,0.57
01/08/2020,0.62
02/08/2020,0.51
03/08/2020,0.56
04/08/2020,0.49
05/08/2020,0.2
06/08/2020,0.45
07/08/2020,0.64
08/08/2020,0.62
09/08/2020,0.55
10/08/2020,0.6
11/08/2020,0.63
12/08/2020,0.47
13/08/2020,0.51
14/08/2020,0.59
15/08/2020,0.42
16/08/2020,0.45
17/08/2020,0.65
18/08/2020,0.48
19/08/2020,0.44
20/08/2020,0.45
21/08/2020,0.55
22/08/2020,0.55
23/08/2020,0.51
24/08/2020,0.52
25/08/2020,0.52
26/08/2020,0.34
27/08/2020,0.47
28/08/2020,0.54
29/08/2020,0.44
30/08/2020,0.55
31/08/2020,0.19
01/09/2020,0.48
02/09/2020,0.28
03/09/2020,0.55
04/09/2020,0.5
05/09/2020,0.29
06/09/2020,0.46
07/09/2020,0.45
08/09/2020,0.51
09/09/2020,0.54
10/09/2020,0.34
11/09/2020,0.27
12/09/2020,0.36
13/09/2020,0.38
14/09/2020,0.24
15/09/2020,0.47
16/09/2020,0.5
17/09/2020,0.58
18/09/2020,0.62
19/09/2020,0.13
20/09/2020,0.62
21/09/2020,0.47
22/09/2020,0.45
23/09/2020,0.55
24/09/2020,0.52
25/09/2020,0.27
26/09/2020,0.44
27/09/2020,0.41
28/09/2020,0.44
29/09/2020,0.48
30/09/2020,0.62
01/10/2020,0.55
02/10/2020,0.53
03/10/2020,0.53
04/10/2020,0.17
05/10/2020,0.45
06/10/2020,0.55
07/10/2020,0.48
08/10/2020,0.44
09/10/2020,0.43
10/10/2020,0.55
11/10/2020,0.59
12/10/2020,0.38
13/10/2020,0.61
14/10/2020,0.45
15/10/2020,0.56
16/10/2020,0.49
17/10/2020,0.59
18/10/2020,0.52
19/10/2020,0.52
20/10/2020,0.59
21/10/2020,0.53
22/10/2020,0.58
23/10/2020,0.41
24/10/2020,0.53
25/10/2020,0.59
26/10/2020,0.43
27/10/2020,0.52
28/10/2020,0.63
29/10/2020,0.38
30/10/2020,0.53
31/10/2020,0.58
01/11/2020,0.47
02/11/2020,0.43
03/11/2020,0.5
04/11/2020,0.48
05/11/2020,0.39
06/11/2020,0.59
07/11/2020,0.27
08/11/2020,0.55
09/11/2020,0.46
10/11/2020,0.57
11/11/2020,0.54
12/11/2020,0.55
13/11/2020,0.55
14/11/2020,0.33
15/11/2020,0.53
16/11/2020,0.52
17/11/2020,0.3
18/11/2020,0.35
19/11/2020,0.24
20/11/2020,0.5
21/11/2020,0.2
22/11/2020,0.54
23/11/2020,0.45
24/11/2020,0.5
25/11/2020,0.53
26/11/2020,0.3
27/11/2020,0.25
28/11/2020,0.59
29/11/2020,0.36
30/11/2020,0.48
01/12/2020,0.59
02/12/2020,0.53
03/12/2020,0.47
04/12/2020,0.41
05/12/2020,0.41
06/12/2020,0.3
07/12/2020,0.51
08/12/2020,0.54
09/12/2020,0.37
10/12/2020,0.53
11/12/2020,0.38
12/12/2020,0.48
13/12/2020,0.52
14/12/2020,0.45
15/12/2020,0.38
16/12/2020,0.5
17/12/2020,0.58
18/12/2020,0.39
19/12/2020,0.4
20/12/2020,0.43
21/12/2020,0.2
22/12/2020,0.26
23/12/2020,0.55
24/12/2020,0.54
25/12/2020,0.5
26/12/2020,0.59
27/12/2020,0.49
28/12/2020,0.58
29/12/2020,0.42
30/12/2020,0.39
31/12/2020,0.46