YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,DATE
2020,1,1,1.85,2020-01-01
2020,1,2,1.98,2020-01-02
2020,1,3,1.46,2020-01-03
2020,1,4,1.55,2020-01-04
2020,1,5,1.4,2020-01-05
2020,1,6,2.05,2020-01-06
2020,1,7,1.87,2020-01-07
2020,1,8,2.02,2020-01-08
2020,1,9,1.83,2020-01-09
2020,1,10,0.77,2020-01-10
2020,1,11,1.48,2020-01-11
2020,1,12,2.05,2020-01-12
2020,1,13,2.08,2020-01-13
2020,1,14,1.98,2020-01-14
2020,1,15,2.09,2020-01-15
2020,1,16,0.77,2020-01-16
2020,1,17,2.06,2020-01-17
2020,1,18,1.79,2020-01-18
2020,1,19,1.41,2020-01-19
2020,1,20,1.1,2020-01-20
2020,1,21,2.42,2020-01-21
2020,1,22,2.2,2020-01-22
2020,1,23,1.98,2020-01-23
2020,1,24,1.43,2020-01-24
2020,1,25,2.34,2020-01-25
2020,1,26,1.45,2020-01-26
2020,1,27,2.13,2020-01-27
2020,1,28,2.12,2020-01-28
2020,1,29,1.63,2020-01-29
2020,1,30,0.77,2020-01-30
2020,1,31,2.16,2020-01-31
2020,2,1,2.25,2020-02-01
2020,2,2,2.19,2020-02-02
2020,2,3,2.08,2020-02-03
2020,2,4,1.54,2020-02-04
2020,2,5,1.12,2020-02-05
2020,2,6,1.91,2020-02-06
2020,2,7,2.11,2020-02-07
2020,2,8,2.12,2020-02-08
2020,2,9,2.23,2020-02-09
2020,2,10,2.39,2020-02-10
2020,2,11,2,2020-02-11
2020,2,12,1.97,2020-02-12
2020,2,13,1.98,2020-02-13
2020,2,14,2.35,2020-02-14
2020,2,15,1.98,2020-02-15
2020,2,16,2.66,2020-02-16
2020,2,17,1.17,2020-02-17
2020,2,18,2.35,2020-02-18
2020,2,19,2.04,2020-02-19
2020,2,20,2.48,2020-02-20
2020,2,21,2.09,2020-02-21
2020,2,22,1.7,2020-02-22
2020,2,23,1.52,2020-02-23
2020,2,24,1.71,2020-02-24
2020,2,25,2.05,2020-02-25
2020,2,26,0.81,2020-02-26
2020,2,27,1.91,2020-02-27
2020,2,28,1.7,2020-02-28
2020,2,29,2.3,2020-02-29
2020,3,1,2.08,2020-03-01
2020,3,2,2.3,2020-03-02
2020,3,3,0.63,2020-03-03
2020,3,4,2.46,2020-03-04
2020,3,5,1.83,2020-03-05
2020,3,6,1.98,2020-03-06
2020,3,7,2.22,2020-03-07
2020,3,8,2.51,2020-03-08
2020,3,9,2.37,2020-03-09
2020,3,10,2.59,2020-03-10
2020,3,11,2.73,2020-03-11
2020,3,12,2.38,2020-03-12
2020,3,13,2.41,2020-03-13
2020,3,14,2.62,2020-03-14
2020,3,15,2.48,2020-03-15
2020,3,16,2.3,2020-03-16
2020,3,17,2.21,2020-03-17
2020,3,18,2.15,2020-03-18
2020,3,19,1.87,2020-03-19
2020,3,20,1.11,2020-03-20
2020,3,21,2.35,2020-03-21
2020,3,22,2.54,2020-03-22
2020,3,23,2.23,2020-03-23
2020,3,24,2.06,2020-03-24
2020,3,25,2.67,2020-03-25
2020,3,26,0.7,2020-03-26
2020,3,27,2.97,2020-03-27
2020,3,28,2.06,2020-03-28
2020,3,29,2.27,2020-03-29
2020,3,30,2.06,2020-03-30
2020,3,31,2.77,2020-03-31
2020,4,1,2.5,2020-04-01
2020,4,2,2.22,2020-04-02
2020,4,3,2.48,2020-04-03
2020,4,4,2.54,2020-04-04
2020,4,5,2.03,2020-04-05
2020,4,6,2.04,2020-04-06
2020,4,7,2.27,2020-04-07
2020,4,8,2.57,2020-04-08
2020,4,9,2.41,2020-04-09
2020,4,10,2.11,2020-04-10
2020,4,11,1.24,2020-04-11
2020,4,12,2.64,2020-04-12
2020,4,13,2.45,2020-04-13
2020,4,14,2.82,2020-04-14
2020,4,15,2.53,2020-04-15
2020,4,16,1.87,2020-04-16
2020,4,17,2.46,2020-04-17
2020,4,18,1.68,2020-04-18
2020,4,19,2.56,2020-04-19
2020,4,20,2.52,2020-04-20
2020,4,21,1.68,2020-04-21
2020,4,22,2.8,2020-04-22
2020,4,23,1.41,2020-04-23
2020,4,24,2.21,2020-04-24
2020,4,25,2.32,2020-04-25
2020,4,26,2.52,2020-04-26
2020,4,27,2.64,2020-04-27
2020,4,28,1.99,2020-04-28
2020,4,29,2.62,2020-04-29
2020,4,30,2.3,2020-04-30
2020,5,1,2.34,2020-05-01
2020,5,2,1.87,2020-05-02
2020,5,3,2.21,2020-05-03
2020,5,4,2.41,2020-05-04
2020,5,5,2.42,2020-05-05
2020,5,6,2.48,2020-05-06
2020,5,7,2.63,2020-05-07
2020,5,8,2.03,2020-05-08
2020,5,9,1.8,2020-05-09
2020,5,10,2.47,2020-05-10
2020,5,11,2.23,2020-05-11
2020,5,12,1.76,2020-05-12
2020,5,13,2.44,2020-05-13
2020,5,14,1.84,2020-05-14
2020,5,15,2.18,2020-05-15
2020,5,16,1.72,2020-05-16
2020,5,17,1.74,2020-05-17
2020,5,18,1.66,2020-05-18
2020,5,19,2.18,2020-05-19
2020,5,20,2.06,2020-05-20
2020,5,21,1.91,2020-05-21
2020,5,22,1.44,2020-05-22
2020,5,23,2.24,2020-05-23
2020,5,24,2.03,2020-05-24
2020,5,25,2.07,2020-05-25
2020,5,26,2.2,2020-05-26
2020,5,27,2.09,2020-05-27
2020,5,28,2.11,2020-05-28
2020,5,29,2.17,2020-05-29
2020,5,30,1.96,2020-05-30
2020,5,31,1.87,2020-05-31
2020,6,1,0.88,2020-06-01
2020,6,2,2.22,2020-06-02
2020,6,3,2.37,2020-06-03
2020,6,4,1.81,2020-06-04
2020,6,5,0.73,2020-06-05
2020,6,6,2.08,2020-06-06
2020,6,7,2.33,2020-06-07
2020,6,8,2.36,2020-06-08
2020,6,9,2.51,2020-06-09
2020,6,10,2.41,2020-06-10
2020,6,11,2.18,2020-06-11
2020,6,12,2.38,2020-06-12
2020,6,13,2.1,2020-06-13
2020,6,14,2.06,2020-06-14
2020,6,15,2.2,2020-06-15
2020,6,16,1.66,2020-06-16
2020,6,17,2.18,2020-06-17
2020,6,18,1.44,2020-06-18
2020,6,19,1.79,2020-06-19
2020,6,20,1.95,2020-06-20
2020,6,21,1.96,2020-06-21
2020,6,22,1.77,2020-06-22
2020,6,23,1.74,2020-06-23
2020,6,24,1.7,2020-06-24
2020,6,25,1.33,2020-06-25
2020,6,26,1.05,2020-06-26
2020,6,27,1.18,2020-06-27
2020,6,28,1.93,2020-06-28
2020,6,29,2.25,2020-06-29
2020,6,30,1.03,2020-06-30
2020,7,1,2.05,2020-07-01
2020,7,2,1.77,2020-07-02
2020,7,3,2.34,2020-07-03
2020,7,4,2.05,2020-07-04
2020,7,5,1.79,2020-07-05
2020,7,6,2.38,2020-07-06
2020,7,7,1.01,2020-07-07
2020,7,8,1.96,2020-07-08
2020,7,9,1.39,2020-07-09
2020,7,10,1.52,2020-07-10
2020,7,11,1.84,2020-07-11
2020,7,12,2.24,2020-07-12
2020,7,13,2.09,2020-07-13
2020,7,14,1.3,2020-07-14
2020,7,15,2.08,2020-07-15
2020,7,16,1.93,2020-07-16
2020,7,17,2.16,2020-07-17
2020,7,18,1.52,2020-07-18
2020,7,19,1.99,2020-07-19
2020,7,20,1.84,2020-07-20
2020,7,21,2.21,2020-07-21
2020,7,22,1.23,2020-07-22
2020,7,23,1.25,2020-07-23
2020,7,24,2.07,2020-07-24
2020,7,25,2.21,2020-07-25
2020,7,26,1.86,2020-07-26
2020,7,27,1.85,2020-07-27
2020,7,28,1.88,2020-07-28
2020,7,29,1.95,2020-07-29
2020,7,30,1.6,2020-07-30
2020,7,31,2.2,2020-07-31
2020,8,1,2.43,2020-08-01
2020,8,2,1.65,2020-08-02
2020,8,3,2.05,2020-08-03
2020,8,4,1.77,2020-08-04
2020,8,5,0.91,2020-08-05
2020,8,6,1.87,2020-08-06
2020,8,7,2.42,2020-08-07
2020,8,8,2.26,2020-08-08
2020,8,9,2.16,2020-08-09
2020,8,10,2.48,2020-08-10
2020,8,11,2.46,2020-08-11
2020,8,12,1.81,2020-08-12
2020,8,13,2.18,2020-08-13
2020,8,14,2.42,2020-08-14
2020,8,15,2.01,2020-08-15
2020,8,16,2.08,2020-08-16
2020,8,17,2.77,2020-08-17
2020,8,18,2.18,2020-08-18
2020,8,19,1.79,2020-08-19
2020,8,20,1.95,2020-08-20
2020,8,21,2.31,2020-08-21
2020,8,22,2.34,2020-08-22
2020,8,23,2.16,2020-08-23
2020,8,24,2.23,2020-08-24
2020,8,25,2.42,2020-08-25
2020,8,26,1.57,2020-08-26
2020,8,27,2.3,2020-08-27
2020,8,28,2.18,2020-08-28
2020,8,29,2.13,2020-08-29
2020,8,30,2.48,2020-08-30
2020,8,31,0.99,2020-08-31
2020,9,1,2.28,2020-09-01
2020,9,2,1.39,2020-09-02
2020,9,3,2.34,2020-09-03
2020,9,4,2.19,2020-09-04
2020,9,5,1.31,2020-09-05
2020,9,6,2.07,2020-09-06
2020,9,7,1.96,2020-09-07
2020,9,8,2.18,2020-09-08
2020,9,9,2.31,2020-09-09
2020,9,10,1.55,2020-09-10
2020,9,11,1.36,2020-09-11
2020,9,12,1.84,2020-09-12
2020,9,13,1.91,2020-09-13
2020,9,14,1.26,2020-09-14
2020,9,15,1.99,2020-09-15
2020,9,16,2.2,2020-09-16
2020,9,17,2.55,2020-09-17
2020,9,18,2.72,2020-09-18
2020,9,19,0.62,2020-09-19
2020,9,20,2.86,2020-09-20
2020,9,21,2.23,2020-09-21
2020,9,22,2.17,2020-09-22
2020,9,23,2.42,2020-09-23
2020,9,24,2.45,2020-09-24
2020,9,25,1.45,2020-09-25
2020,9,26,2.2,2020-09-26
2020,9,27,1.95,2020-09-27
2020,9,28,1.99,2020-09-28
2020,9,29,2.03,2020-09-29
2020,9,30,2.77,2020-09-30
2020,10,1,2.58,2020-10-01
2020,10,2,2.36,2020-10-02
2020,10,3,2.46,2020-10-03
2020,10,4,0.89,2020-10-04
2020,10,5,2.09,2020-10-05
2020,10,6,2.4,2020-10-06
2020,10,7,2.02,2020-10-07
2020,10,8,1.79,2020-10-08
2020,10,9,1.76,2020-10-09
2020,10,10,2.25,2020-10-10
2020,10,11,2.47,2020-10-11
2020,10,12,1.7,2020-10-12
2020,10,13,2.46,2020-10-13
2020,10,14,1.91,2020-10-14
2020,10,15,2.37,2020-10-15
2020,10,16,2.06,2020-10-16
2020,10,17,2.27,2020-10-17
2020,10,18,2.15,2020-10-18
2020,10,19,2.13,2020-10-19
2020,10,20,2.38,2020-10-20
2020,10,21,2.16,2020-10-21
2020,10,22,2.37,2020-10-22
2020,10,23,1.81,2020-10-23
2020,10,24,2.02,2020-10-24
2020,10,25,2.46,2020-10-25
2020,10,26,1.91,2020-10-26
2020,10,27,2.17,2020-10-27
2020,10,28,2.52,2020-10-28
2020,10,29,1.64,2020-10-29
2020,10,30,2.21,2020-10-30
2020,10,31,2.23,2020-10-31
2020,11,1,1.98,2020-11-01
2020,11,2,1.85,2020-11-02
2020,11,3,2.05,2020-11-03
2020,11,4,2.02,2020-11-04
2020,11,5,1.67,2020-11-05
2020,11,6,2.37,2020-11-06
2020,11,7,1.11,2020-11-07
2020,11,8,2.15,2020-11-08
2020,11,9,1.95,2020-11-09
2020,11,10,2.35,2020-11-10
2020,11,11,2,2020-11-11
2020,11,12,2.16,2020-11-12
2020,11,13,2.21,2020-11-13
2020,11,14,1.51,2020-11-14
2020,11,15,2.11,2020-11-15
2020,11,16,2.1,2020-11-16
2020,11,17,1.26,2020-11-17
2020,11,18,1.36,2020-11-18
2020,11,19,1.01,2020-11-19
2020,11,20,1.88,2020-11-20
2020,11,21,0.93,2020-11-21
2020,11,22,2.09,2020-11-22
2020,11,23,1.78,2020-11-23
2020,11,24,1.92,2020-11-24
2020,11,25,2.05,2020-11-25
2020,11,26,1.33,2020-11-26
2020,11,27,1.09,2020-11-27
2020,11,28,2.1,2020-11-28
2020,11,29,1.41,2020-11-29
2020,11,30,1.95,2020-11-30
2020,12,1,2.23,2020-12-01
2020,12,2,2.05,2020-12-02
2020,12,3,1.94,2020-12-03
2020,12,4,1.72,2020-12-04
2020,12,5,1.73,2020-12-05
2020,12,6,1.39,2020-12-06
2020,12,7,2.06,2020-12-07
2020,12,8,2.25,2020-12-08
2020,12,9,1.58,2020-12-09
2020,12,10,2.16,2020-12-10
2020,12,11,1.66,2020-12-11
2020,12,12,1.73,2020-12-12
2020,12,13,2.05,2020-12-13
2020,12,14,1.89,2020-12-14
2020,12,15,1.63,2020-12-15
2020,12,16,2.02,2020-12-16
2020,12,17,2.23,2020-12-17
2020,12,18,1.72,2020-12-18
2020,12,19,1.74,2020-12-19
2020,12,20,1.78,2020-12-20
2020,12,21,0.96,2020-12-21
2020,12,22,1.23,2020-12-22
2020,12,23,2.27,2020-12-23
2020,12,24,2.2,2020-12-24
2020,12,25,1.96,2020-12-25
2020,12,26,2.35,2020-12-26
2020,12,27,1.92,2020-12-27
2020,12,28,2.27,2020-12-28
2020,12,29,1.84,2020-12-29
2020,12,30,1.77,2020-12-30
2020,12,31,1.95,2020-12-31